entry_time,exit_time,action,entry_price,exit_price,size,status,fee,ideal_pnl,pnl,reason,stop_loss,take_profit,max_profit_price,trailing_stop_active,half_exit_done,original_size
2025-12-28T17:00:06+00:00,2025-12-28T19:29:30+00:00,short,6.354,6.14,1416.43,closed,10.62,303.12,292.5,stop_loss,6.13722,6.1589,6.127,True,True,2832.86
2025-12-28T17:00:06+00:00,2025-12-28T19:28:21+00:00,short,6.354,6.156,1416.43,closed,10.63,280.45,269.82,half_exit_take_profit,6.63689,6.1589,6.156,False,True,2832.86
2025-12-30T09:00:07+00:00,2025-12-31T16:34:36+00:00,long,5.976,5.778,3012.05,closed,21.24,-396.39,-417.63,stop_loss,5.77909,6.05069,6.038,False,False,3012.05
2025-12-30T18:00:06+00:00,2025-12-31T15:25:53+00:00,short,5.968,5.849,1508.04,closed,10.69,179.46,168.76,stop_loss,5.84781,5.84324,5.843,True,True,3016.09
2025-12-30T18:00:06+00:00,2025-12-31T15:24:30+00:00,short,5.968,5.843,1508.04,closed,10.69,188.51,177.82,half_exit_take_profit,6.1489,5.84324,5.843,False,True,3016.09
2025-12-31T17:00:06+00:00,2026-01-02T15:45:06+00:00,short,5.725,5.899,3144.1,closed,21.93,-347.07,-369.0,stop_loss,5.89899,5.60501,5.616,False,False,3144.1
2026-01-02T17:00:06+00:00,2026-01-02T20:02:38+00:00,long,5.937,6.022,1515.92,closed,10.88,128.85,117.98,stop_loss,6.0223,6.02325,6.03,True,True,3031.83
2026-01-02T17:00:06+00:00,2026-01-02T20:00:16+00:00,long,5.937,6.024,1515.92,closed,10.88,131.88,121.01,half_exit_take_profit,5.7096,6.02325,6.024,False,True,3031.83
2026-01-04T03:00:07+00:00,2026-01-04T19:10:06+00:00,short,5.932,5.82,1517.19,closed,10.7,169.93,159.23,stop_loss,5.8161,5.81258,5.81,True,True,3034.39
2026-01-04T03:00:07+00:00,2026-01-04T19:09:18+00:00,short,5.932,5.812,1517.19,closed,10.69,182.06,171.37,half_exit_take_profit,6.10516,5.81258,5.812,False,True,3034.39
2026-01-05T10:00:06+00:00,2026-01-05T18:00:06+00:00,short,5.848,5.864,3077.98,closed,21.63,-49.25,-70.88,Replace,6.07205,5.69348,5.729,False,False,3077.98
2026-01-05T18:00:20+00:00,2026-01-05T21:59:01+00:00,short,5.865,6.133,3069.05,closed,22.09,-222.51,-244.6,stop_loss,6.11823,5.69036,5.835,False,False,3069.05
2026-01-06T15:00:06+00:00,2026-01-06T17:49:53+00:00,long,6.182,5.884,2911.68,closed,21.08,-467.68,-488.76,stop_loss,5.89189,6.29204,6.246,False,False,2911.68
2026-01-06T17:00:07+00:00,2026-01-07T14:03:15+00:00,short,6.003,5.788,1499.25,closed,10.61,322.34,311.73,stop_loss,5.78621,5.7783,5.778,True,True,2998.5
2026-01-06T17:00:07+00:00,2026-01-07T14:03:02+00:00,short,6.003,5.778,1499.25,closed,10.6,337.33,326.73,half_exit_take_profit,6.32881,5.7783,5.778,False,True,2998.5
2026-01-09T19:00:07+00:00,2026-01-12T13:41:15+00:00,short,5.485,5.373,1640.84,closed,10.69,183.77,173.08,stop_loss,5.36151,5.33358,5.356,True,True,3281.68
2026-01-09T19:00:07+00:00,2026-01-12T13:40:56+00:00,short,5.485,5.373,1640.84,closed,10.69,183.77,173.08,half_exit_take_profit,5.70457,5.33358,5.356,False,True,3281.68
2026-01-14T16:00:09+00:00,2026-01-15T02:35:31+00:00,long,5.785,5.595,3111.5,closed,21.25,-391.18,-412.43,stop_loss,5.59562,5.85683,5.847,False,False,3111.5
2026-01-14T19:00:12+00:00,2026-01-15T03:20:16+00:00,short,5.699,5.551,1579.22,closed,10.66,233.73,223.07,stop_loss,5.54985,5.55774,5.543,True,True,3158.45
2026-01-14T19:00:12+00:00,2026-01-15T03:19:02+00:00,short,5.699,5.544,1579.22,closed,10.65,244.78,234.13,half_exit_take_profit,5.90383,5.55774,5.544,False,True,3158.45
2026-01-15T15:00:06+00:00,2026-01-15T18:52:21+00:00,short,5.436,5.314,1655.63,closed,10.68,201.99,191.31,stop_loss,5.31304,5.3066,5.306,True,True,3311.26
2026-01-15T15:00:06+00:00,2026-01-15T18:51:20+00:00,short,5.436,5.306,1655.63,closed,10.67,215.23,204.56,half_exit_take_profit,5.62364,5.3066,5.306,False,True,3311.26
2026-01-16T14:00:07+00:00,2026-01-16T15:33:01+00:00,short,5.27,5.178,1707.78,closed,10.71,157.12,146.41,stop_loss,5.17765,5.17477,5.173,True,True,3415.56
2026-01-16T14:00:07+00:00,2026-01-16T15:32:50+00:00,short,5.27,5.173,1707.78,closed,10.7,165.65,154.95,half_exit_take_profit,5.40808,5.17477,5.173,False,True,3415.56
2026-01-17T12:00:06+00:00,2026-01-17T17:00:06+00:00,short,5.341,5.381,3370.16,closed,21.68,-134.81,-156.49,Replace,5.4549,5.26245,5.332,False,False,3370.16
2026-01-17T17:00:17+00:00,2026-01-18T01:54:15+00:00,short,5.381,5.294,1672.55,closed,10.71,145.51,134.8,stop_loss,5.29364,5.29776,5.29,True,True,3345.1
2026-01-17T17:00:17+00:00,2026-01-18T01:54:08+00:00,short,5.381,5.29,1672.55,closed,10.71,152.2,141.49,half_exit_take_profit,5.50169,5.29776,5.29,False,True,3345.1
2026-01-19T00:00:06+00:00,2026-01-19T00:01:22+00:00,short,5.09,4.933,1768.17,closed,10.63,277.6,266.97,stop_loss,4.92746,4.98074,4.922,True,True,3536.35
2026-01-19T00:00:06+00:00,2026-01-19T00:00:56+00:00,short,5.09,4.969,1768.17,closed,10.67,213.95,203.28,half_exit_take_profit,5.24843,4.98074,4.969,False,True,3536.35
2026-01-20T14:00:07+00:00,2026-01-20T22:35:08+00:00,short,4.799,4.699,1875.39,closed,10.69,187.54,176.85,stop_loss,4.69574,4.69393,4.69,True,True,3750.78
2026-01-20T14:00:07+00:00,2026-01-20T22:34:54+00:00,short,4.799,4.693,1875.39,closed,10.68,198.79,188.11,half_exit_take_profit,4.95135,4.69393,4.693,False,True,3750.78
2026-01-21T15:00:07+00:00,2026-01-21T17:33:17+00:00,long,4.934,4.759,3648.16,closed,21.22,-638.43,-659.64,stop_loss,4.7594,5.00023,4.989,False,False,3648.16
2026-01-23T15:00:06+00:00,2026-01-23T17:26:16+00:00,short,4.807,4.938,3744.54,closed,21.89,-490.53,-512.43,stop_loss,4.93739,4.71708,4.784,False,False,3744.54
2026-01-23T17:00:07+00:00,2026-01-23T17:30:35+00:00,long,4.895,4.949,1838.61,closed,10.86,99.28,88.43,stop_loss,4.95278,4.95237,4.958,True,True,3677.22
2026-01-23T17:00:07+00:00,2026-01-23T17:30:11+00:00,long,4.895,4.955,1838.61,closed,10.87,110.32,99.45,half_exit_take_profit,4.74375,4.95237,4.955,False,True,3677.22
2026-01-25T04:00:06+00:00,2026-01-25T16:02:22+00:00,short,4.834,4.783,1861.81,closed,10.74,94.95,84.21,stop_loss,4.78243,4.77948,4.779,True,True,3723.62
2026-01-25T04:00:06+00:00,2026-01-25T16:02:09+00:00,short,4.834,4.779,1861.81,closed,10.74,102.4,91.66,half_exit_take_profit,4.91305,4.77948,4.779,False,True,3723.62
2026-01-27T07:00:09+00:00,2026-01-28T09:36:41+00:00,short,4.683,4.819,3843.69,closed,21.91,-522.74,-544.66,stop_loss,4.81541,4.59169,4.628,False,False,3843.69
2026-01-28T15:00:07+00:00,2026-01-28T22:00:07+00:00,short,4.818,4.836,3735.99,closed,21.64,-67.25,-88.89,Replace,4.93649,4.74037,4.773,False,False,3735.99
2026-01-28T21:00:11+00:00,2026-01-29T02:49:59+00:00,long,4.823,4.693,3732.12,closed,21.31,-485.18,-506.48,stop_loss,4.6934,4.90791,4.861,False,False,3732.12
2026-01-28T22:00:23+00:00,2026-01-29T02:32:02+00:00,short,4.834,4.719,1861.81,closed,10.67,214.11,203.44,stop_loss,4.7176,4.74755,4.713,True,True,3723.62
2026-01-28T22:00:23+00:00,2026-01-29T02:31:11+00:00,short,4.834,4.744,1861.81,closed,10.7,167.56,156.86,half_exit_take_profit,4.96594,4.74755,4.744,False,True,3723.62
2026-01-29T09:00:10+00:00,2026-01-29T14:52:13+00:00,short,4.703,4.61,1913.67,closed,10.69,177.97,167.28,stop_loss,4.60894,4.62067,4.605,True,True,3827.34
2026-01-29T09:00:10+00:00,2026-01-29T14:51:26+00:00,short,4.703,4.62,1913.67,closed,10.7,158.83,148.13,half_exit_take_profit,4.82867,4.62067,4.62,False,True,3827.34
2026-01-29T16:00:11+00:00,2026-01-29T18:30:46+00:00,short,4.447,4.344,2023.84,closed,10.67,208.46,197.78,stop_loss,4.34285,4.34473,4.337,True,True,4047.67
2026-01-29T16:00:11+00:00,2026-01-29T18:30:14+00:00,short,4.447,4.344,2023.84,closed,10.67,208.46,197.78,half_exit_take_profit,4.58041,4.34473,4.344,False,True,4047.67
2026-01-29T19:00:10+00:00,2026-01-30T01:43:16+00:00,short,4.318,4.259,2084.3,closed,10.73,122.97,112.25,stop_loss,4.20272,4.20088,4.197,True,True,4168.6
2026-01-29T19:00:10+00:00,2026-01-30T01:43:06+00:00,short,4.318,4.197,2084.3,closed,10.65,252.2,241.55,half_exit_take_profit,4.44754,4.20088,4.197,False,True,4168.6
2026-01-30T02:00:09+00:00,2026-01-30T06:47:47+00:00,short,4.323,4.187,2081.89,closed,10.63,283.14,272.51,stop_loss,4.18661,4.19413,4.18,True,True,4163.78
2026-01-30T02:00:09+00:00,2026-01-30T06:46:18+00:00,short,4.323,4.194,2081.89,closed,10.64,268.56,257.92,half_exit_take_profit,4.45269,4.19413,4.194,False,True,4163.78
2026-02-02T00:00:07+00:00,2026-02-02T01:28:21+00:00,short,3.838,3.955,4689.94,closed,21.93,-548.72,-570.65,stop_loss,3.95314,3.69721,3.813,False,False,4689.94
2026-02-03T10:00:06+00:00,2026-02-03T18:15:22+00:00,short,3.877,3.776,2321.38,closed,10.66,234.46,223.8,stop_loss,3.77588,3.77979,3.77,True,True,4642.77
2026-02-03T10:00:06+00:00,2026-02-03T18:13:55+00:00,short,3.877,3.777,2321.38,closed,10.66,232.14,221.48,half_exit_take_profit,3.99331,3.77979,3.777,False,True,4642.77
2026-02-10T13:00:06+00:00,2026-02-11T06:19:35+00:00,short,3.335,3.249,2698.65,closed,10.66,232.08,221.42,stop_loss,3.24895,3.2343,3.245,True,True,5397.3
2026-02-10T13:00:06+00:00,2026-02-11T06:19:29+00:00,short,3.335,3.249,2698.65,closed,10.66,232.08,221.42,half_exit_take_profit,3.42257,3.2343,3.245,False,True,5397.3
2026-02-15T00:00:06+00:00,2026-02-15T13:31:46+00:00,short,3.623,3.501,2484.13,closed,10.62,303.06,292.45,stop_loss,3.49943,3.49512,3.494,True,True,4968.26
2026-02-15T00:00:06+00:00,2026-02-15T13:31:19+00:00,short,3.623,3.495,2484.13,closed,10.61,317.97,307.36,half_exit_take_profit,3.73169,3.49512,3.495,False,True,4968.26
2026-02-17T03:00:06+00:00,2026-02-17T14:47:50+00:00,short,3.591,3.474,2506.27,closed,10.62,293.23,282.61,stop_loss,3.47316,3.47645,3.469,True,True,5012.53
2026-02-17T03:00:06+00:00,2026-02-17T14:47:34+00:00,short,3.591,3.475,2506.27,closed,10.63,290.73,280.1,half_exit_take_profit,3.69061,3.47645,3.475,False,True,5012.53
2026-02-17T15:00:07+00:00,2026-02-17T16:07:57+00:00,short,3.469,3.565,5188.82,closed,21.9,-498.13,-520.03,stop_loss,3.56222,3.3618,3.449,False,False,5188.82
